x_position,y_position,r,random_seed
-2.9393939393939394,0.5757575757575757,-120.44764120141313,5250
-2.9393939393939394,0.6363636363636367,-119.9731323405012,5250
-2.9393939393939394,0.6969696969696972,-122.37164904817953,5250
-2.9393939393939394,0.7575757575757578,-123.71579973525414,5250
-2.9393939393939394,0.8181818181818183,-121.00184188427248,5250
-2.9393939393939394,0.8787878787878789,-120.15749477639561,5250
-2.9393939393939394,0.9393939393939394,-120.53118661669163,5250
-2.9393939393939394,1.0,-124.7988691006411,5250
-2.9393939393939394,1.0606060606060606,-121.11794654646604,5250
-2.9393939393939394,1.121212121212121,-121.21344622679653,5250
-2.9393939393939394,1.1818181818181817,-123.45341615541443,5250
-2.9393939393939394,1.2424242424242422,-121.70456360567758,5250
-2.9393939393939394,1.3030303030303028,-122.90911247107691,5250
-2.9393939393939394,1.3636363636363633,-122.62206999356603,5250
-2.9393939393939394,1.4242424242424248,-124.48286616245514,5250
-2.9393939393939394,1.4848484848484853,-125.70330457992797,5250
-2.9393939393939394,1.5454545454545459,-123.23892252372268,5250
-2.9393939393939394,1.6060606060606064,-128.26113892735435,5250
-2.9393939393939394,1.666666666666667,-124.59970637815579,5250
-2.9393939393939394,1.7272727272727275,-126.12083597801474,5250
-2.9393939393939394,1.787878787878788,-129.16525624648483,5250
-2.9393939393939394,1.8484848484848486,-127.1474230566812,5250
-2.9393939393939394,1.9090909090909092,-128.43739604797878,5250
-2.9393939393939394,1.9696969696969697,-128.00013562594046,5250
-2.9393939393939394,2.0303030303030303,-129.81989273048723,5250
-2.9393939393939394,2.090909090909091,-132.32591056700335,5250
-2.9393939393939394,2.1515151515151514,-130.86156956938098,5250
-2.9393939393939394,2.212121212121212,-133.16038133703378,5250
-2.9393939393939394,2.2727272727272725,-133.33807839489273,5250
-2.9393939393939394,2.333333333333334,-134.25262646872068,5250
-2.9393939393939394,2.3939393939393945,-141.0481730308148,5250
-2.9393939393939394,2.454545454545455,-142.82431567699822,5250
-2.9393939393939394,2.5151515151515156,-140.39780666919953,5250
-2.9393939393939394,2.575757575757576,-141.01495213772716,5250
-2.9393939393939394,2.6363636363636367,-142.64199976796525,5250
-2.9393939393939394,2.6969696969696972,-149.9985404563801,5250
-2.9393939393939394,2.757575757575758,-145.67450276016586,5250
-2.9393939393939394,2.8181818181818183,-154.9685286277126,5250
-2.9393939393939394,2.878787878787879,-160.6710730307579,5250
-2.9393939393939394,2.9393939393939394,-159.01671061122124,5250
-2.9393939393939394,3.0,-162.60547069898738,5250
-2.878787878787879,-3.0,-169.9876044642689,5250
-2.878787878787879,-2.9393939393939394,-162.4629694026694,5250
-2.878787878787879,-2.878787878787879,-158.46645117589927,5250
-2.878787878787879,-2.8181818181818183,-168.97712004334184,5250
-2.878787878787879,-2.757575757575758,-157.6989018590508,5250
-2.878787878787879,-2.696969696969697,-151.5081526380061,5250
-2.878787878787879,-2.6363636363636362,-149.1288737096422,5250
-2.878787878787879,-2.5757575757575757,-152.90433448891307,5250
-2.878787878787879,-2.515151515151515,-144.7624122328144,5250
-2.878787878787879,-2.4545454545454546,-159.98048485581174,5250
-2.878787878787879,-2.393939393939394,-168.2693982296251,5250
-2.878787878787879,-2.333333333333333,-171.46743348850885,5250
-2.878787878787879,-2.2727272727272725,-139.53532290718323,5250
